"Kod";"Nazwa";"benzyna silnikowa bezołowiowa, 95-oktanowa - za 1l;2022;[zł]";
0200000;"DOLNOŚLĄSKIE";6,70;
0400000;"KUJAWSKO-POMORSKIE";6,70;
0600000;"LUBELSKIE";6,69;
0800000;"LUBUSKIE";6,74;
1000000;"ŁÓDZKIE";6,65;
1200000;"MAŁOPOLSKIE";6,68;
1400000;"MAZOWIECKIE";6,67;
1600000;"OPOLSKIE";6,67;
1800000;"PODKARPACKIE";6,68;
2000000;"PODLASKIE";6,68;
2200000;"POMORSKIE";6,65;
2400000;"ŚLĄSKIE";6,65;
2600000;"ŚWIĘTOKRZYSKIE";6,65;
2800000;"WARMIŃSKO-MAZURSKIE";6,66;
3000000;"WIELKOPOLSKIE";6,67;
3200000;"ZACHODNIOPOMORSKIE";6,70;
