"Kod";"Nazwa";"biblioteki i filie;2022;[ob.]";
0200000;"DOLNOŚLĄSKIE";574;
0400000;"KUJAWSKO-POMORSKIE";381;
0600000;"LUBELSKIE";560;
0800000;"LUBUSKIE";239;
1000000;"ŁÓDZKIE";453;
1200000;"MAŁOPOLSKIE";706;
1400000;"MAZOWIECKIE";946;
1600000;"OPOLSKIE";301;
1800000;"PODKARPACKIE";659;
2000000;"PODLASKIE";225;
2200000;"POMORSKIE";312;
2400000;"ŚLĄSKIE";750;
2600000;"ŚWIĘTOKRZYSKIE";252;
2800000;"WARMIŃSKO-MAZURSKIE";288;
3000000;"WIELKOPOLSKIE";644;
3200000;"ZACHODNIOPOMORSKIE";348;
