"Kod";"Nazwa";"gospodarstwa ogółem;gospodarstwa;2022;[-]";
0200000;"DOLNOŚLĄSKIE";761;
0400000;"KUJAWSKO-POMORSKIE";420;
0600000;"LUBELSKIE";1926;
0800000;"LUBUSKIE";1139;
1000000;"ŁÓDZKIE";538;
1200000;"MAŁOPOLSKIE";634;
1400000;"MAZOWIECKIE";2393;
1600000;"OPOLSKIE";74;
1800000;"PODKARPACKIE";886;
2000000;"PODLASKIE";4047;
2200000;"POMORSKIE";586;
2400000;"ŚLĄSKIE";139;
2600000;"ŚWIĘTOKRZYSKIE";571;
2800000;"WARMIŃSKO-MAZURSKIE";3654;
3000000;"WIELKOPOLSKIE";848;
3200000;"ZACHODNIOPOMORSKIE";2577;
