"Kod";"Nazwa";"ludność na 1 km2;2022;[osoba]";
0200000;"DOLNOŚLĄSKIE";144,8;
0400000;"KUJAWSKO-POMORSKIE";111,7;
0600000;"LUBELSKIE";80,6;
0800000;"LUBUSKIE";70,1;
1000000;"ŁÓDZKIE";130,5;
1200000;"MAŁOPOLSKIE";225,8;
1400000;"MAZOWIECKIE";155,0;
1600000;"OPOLSKIE";100,1;
1800000;"PODKARPACKIE";116,5;
2000000;"PODLASKIE";56,6;
2200000;"POMORSKIE";128,6;
2400000;"ŚLĄSKIE";352,4;
2600000;"ŚWIĘTOKRZYSKIE";100,6;
2800000;"WARMIŃSKO-MAZURSKIE";56,5;
3000000;"WIELKOPOLSKIE";117,1;
3200000;"ZACHODNIOPOMORSKIE";71,6;
