"Kod";"Nazwa";"absolwenci studiów na poziomie magisterskim;2022;[osoba]";
0200000;"DOLNOŚLĄSKIE";12969;
0400000;"KUJAWSKO-POMORSKIE";5376;
0600000;"LUBELSKIE";8194;
0800000;"LUBUSKIE";1323;
1000000;"ŁÓDZKIE";6797;
1200000;"MAŁOPOLSKIE";17221;
1400000;"MAZOWIECKIE";25925;
1600000;"OPOLSKIE";2468;
1800000;"PODKARPACKIE";5944;
2000000;"PODLASKIE";3410;
2200000;"POMORSKIE";9061;
2400000;"ŚLĄSKIE";13161;
2600000;"ŚWIĘTOKRZYSKIE";2172;
2800000;"WARMIŃSKO-MAZURSKIE";2941;
3000000;"WIELKOPOLSKIE";12389;
3200000;"ZACHODNIOPOMORSKIE";3542;
